numero,tipo,x,y
1,iluminação_externa_3,1093,2495
2,iluminação_externa_3,1856,2486
3,iluminação_externa_3,2431,2230
4,iluminação_externa_3,2413,2981
5,iluminação_externa_3,1903,1599
6,iluminação_externa_3,2432,1346
7,iluminação_externa_3,1900,884
8,iluminação_externa_3,2432,336
9,iluminação_externa_1,1619,361
10,iluminação_externa_1,1271,422
11,iluminação_externa_1,1283,914
12,iluminação_externa_1,1283,1487
13,iluminação_externa_2,1485,1758
14,iluminação_externa_3,1348,1928
15,iluminação_externa_3,787,2040
