# pagina_9
# Total: 141

numero,tipo,x,y
1,rta_2,469,378
2,rta_1,1036,547
3,rta_4,834,653
4,rta_2,510,930
5,rta_4,687,1147
6,rta_4,1224,1156
7,rta_1,508,1243
8,rta_1,1064,1245
9,rta_2,479,1383
10,rta_3,1727,1104
11,rta_3,1773,1110
12,rta_3,1727,1162
13,rta_3,1781,1156
14,rta_3,1732,1212
15,rta_3,1772,1212
16,rta_3,1730,1248
17,rta_3,1777,1253
18,rta_3,1730,1293
19,rta_3,1765,1298
20,rta_3,1883,1108
21,rta_3,1945,1111
22,rta_3,1891,1151
23,rta_3,1927,1152
24,rta_3,1888,1199
25,rta_3,1926,1199
26,rta_3,1892,1245
27,rta_3,1934,1245
28,rta_3,1890,1301
29,rta_3,1923,1299
30,rta_3,2051,1109
31,rta_3,2084,1105
32,rta_3,2048,1152
33,rta_3,2089,1154
34,rta_3,2052,1197
35,rta_3,2083,1197
36,rta_3,2049,1248
37,rta_3,2088,1248
38,rta_3,2055,1296
39,rta_3,2083,1295
40,rta_3,2292,1108
41,rta_3,2323,1105
42,rta_3,2296,1151
43,rta_3,2322,1152
44,rta_3,2298,1201
45,rta_3,2324,1203
46,rta_3,2295,1251
47,rta_3,2323,1251
48,rta_3,2297,1296
49,rta_3,2330,1296
50,rta_3,2455,1101
51,rta_3,2495,1101
52,rta_3,2456,1151
53,rta_3,2490,1152
54,rta_3,2458,1198
55,rta_3,2492,1198
56,rta_3,2456,1247
57,rta_3,2497,1244
58,rta_3,2457,1289
59,rta_3,2497,1289
60,rta_3,2611,1097
61,rta_3,2650,1102
62,rta_3,2613,1150
63,rta_3,2650,1152
64,rta_3,2613,1199
65,rta_3,2654,1199
66,rta_3,2607,1260
67,rta_3,2640,1250
68,rta_3,2604,1301
69,rta_3,2653,1301
70,rta_2,3296,1185
71,rta_2,3299,981
72,rta_5,3184,1029
73,rta_2,3329,446
74,rta_1,2746,544
75,rta_4,2559,664
76,rta_1,2172,547
77,rta_4,2000,663
78,rta_1,1598,545
79,rta_4,1423,654
80,rta_1,1042,2298
81,rta_4,851,2413
82,rta_4,1413,2404
83,rta_1,1597,2298
84,rta_1,2160,2298
85,rta_4,1984,2406
86,rta_1,2730,2298
87,rta_4,2555,2404
88,rta_2,3302,2735
89,rta_5,3178,2768
90,rta_1,2595,3046
91,rta_1,2609,3042
92,rta_1,2371,3063
93,rta_1,2371,3063
94,rta_1,2598,2871
95,rta_1,2598,2871
96,rta_1,2360,2758
97,rta_1,2355,2756
98,rta_1,2209,2871
99,rta_1,2213,2865
100,rta_1,2213,3023
101,rta_1,2214,3025
102,rta_1,2167,3019
103,rta_1,2166,3022
104,rta_1,2170,2868
105,rta_1,2170,2868
106,rta_1,2163,2857
107,rta_1,1930,2863
108,rta_1,1934,2868
109,rta_1,1939,3011
110,rta_1,1939,3021
111,rta_1,1857,2864
112,rta_1,1857,2864
113,rta_1,1860,3016
114,rta_1,1860,3016
115,rta_1,1651,3028
116,rta_1,1652,3034
117,rta_1,1654,2863
118,rta_1,1652,2854
119,rta_1,1601,2860
120,rta_1,1600,2865
121,rta_1,1607,3022
122,rta_1,1606,3025
123,rta_1,1359,2851
124,rta_1,1358,2855
125,rta_1,1354,3013
126,rta_1,1355,3021
127,rta_1,1312,3039
128,rta_1,1311,3020
129,rta_1,1303,2864
130,rta_1,1303,2854
131,rta_1,1077,2870
132,rta_1,1079,2863
133,rta_1,1082,3019
134,rta_1,1082,3030
135,rta_3,915,2897
136,rta_3,826,2898
137,rta_3,752,2898
138,rta_3,669,2901
139,rta_3,580,2896
140,rta_4,860,2950
141,rta_1,521,3061
